date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:38:55	67/67	---M--	200	added ('OK')	text/plain	etag:%22618aac5c-43%22	http://www.jarin.me/robots.txt		(from )
01:38:55	2285/2285	---M-Z	200	added ('OK')	text/html	etag:W/%22618aac5c-8ed%22	http://www.jarin.me/	C:/My%20Web%20Sites/rk%20personal%20website/www.jarin.me/index.html	(from )
01:38:55	1701/1701	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22618aac5c-6a5%22	http://www.jarin.me/favicon.ico	C:/My%20Web%20Sites/rk%20personal%20website/www.jarin.me/favicon.ico	(from http://www.jarin.me/)
01:38:55	5347/5347	---M--	200	added ('OK')	image/png	etag:%22618aac5c-14e3%22	http://www.jarin.me/logo192.png	C:/My%20Web%20Sites/rk%20personal%20website/www.jarin.me/logo192.png	(from http://www.jarin.me/)
01:38:55	492/492	---M-Z	200	added ('OK')	application/json	etag:W/%22618aac5c-1ec%22	http://www.jarin.me/manifest.json	C:/My%20Web%20Sites/rk%20personal%20website/www.jarin.me/manifest.json	(from http://www.jarin.me/)
01:38:55	729464/729464	---M-Z	200	added ('OK')	text/css	etag:W/%22618aac5c-b2178%22	http://www.jarin.me/static/css/2.a77b24b2.chunk.css	C:/My%20Web%20Sites/rk%20personal%20website/www.jarin.me/static/css/2.a77b24b2.chunk.css	(from http://www.jarin.me/)
01:38:57	8216/8216	---M-Z	200	added ('OK')	text/css	etag:W/%22618aac5c-2018%22	http://www.jarin.me/static/css/main.8f44bfb4.chunk.css	C:/My%20Web%20Sites/rk%20personal%20website/www.jarin.me/static/css/main.8f44bfb4.chunk.css	(from http://www.jarin.me/)
01:38:59	17351/17351	---M-Z	200	added ('OK')	application/javascript	etag:W/%22618aac5c-43c7%22	http://www.jarin.me/static/js/main.a0b10588.chunk.js	C:/My%20Web%20Sites/rk%20personal%20website/www.jarin.me/static/js/main.a0b10588.chunk.js	(from http://www.jarin.me/)
01:39:11	373856/373856	---M-Z	200	added ('OK')	font/ttf	etag:W/%22618aac5c-5b460%22	http://www.jarin.me/fonts/NTR-Regular.ttf	C:/My%20Web%20Sites/rk%20personal%20website/www.jarin.me/fonts/NTR-Regular.ttf	(from http://www.jarin.me/static/css/main.8f44bfb4.chunk.css)
01:39:14	950389/950389	---M-Z	200	added ('OK')	application/javascript	etag:W/%22618aac5c-e8075%22	http://www.jarin.me/static/js/2.81c35915.chunk.js	C:/My%20Web%20Sites/rk%20personal%20website/www.jarin.me/static/js/2.81c35915.chunk.js	(from http://www.jarin.me/)
